,X.1,X,CID,Inchikey,SID,KEGGID,Name,Name_1,pathway_1,pathway_2,pathway_3,pathway_4,pathway_5,pathway_6,Class
1,1,4561,6326,HSFWRNGVRCDJHI-UHFFFAOYSA-N,4707,C01548,Acetylene,Ethyne,map00625,map01120,,,,,Acetylides
2,2,9170,13566,OTJZCIYGRUNXTP-UHFFFAOYSA-N,8402,C06146,3-Butyn-1-ol,,map00650,,,,,,Acetylides
3,3,26,443730,ABEASKLJNCROIZ-AXUOBQJMSA-N,14386,C12241,O-Methyllycorenine,,,,,,,,Alkaloids and derivatives
4,4,90,443144,ADKXZIOQKHHDNQ-QMMMGPOBSA-N,13534,C11359,(-)-Hygrine,,map01064,map01110,,,,,Alkaloids and derivatives
5,5,234,442941,AILDTIZEPVHXBF-XSLAGTTESA-N,12936,C10753,Argentine,,,,,,,,Alkaloids and derivatives
6,6,271,275196,AKNNEGZIBPJZJG-MSOLQXFVSA-N,11783,C09592,alpha-Narcotine,Noscapine,map00950,map01110,,,,,Alkaloids and derivatives
7,7,301,5362459,AMAPEXTUMXQULJ-APQDOHRLSA-N,13950,C11786,Morphine N-oxide,,,,,,,,Alkaloids and derivatives
8,8,400,11756356,APWFTHDYKJHNEV-NDEPHWFRSA-N,51090872,C16543,NPC,,map00983,,,,,,Alkaloids and derivatives
9,9,536,10219,AUVVAXYIELKVAI-CKBKHPSWSA-N,11612,C09421,Emetine,,map00950,map01063,map01110,,,,Alkaloids and derivatives
10,10,628,24829009,AXVVWZONCVUAPP-QULPKBGFSA-N,96023441,C16954,Disinomenine,Bisinomenine,,,,,,,Alkaloids and derivatives
11,11,645,72523,AYJGABFBAYKWDX-IAGOWNOFSA-N,96023306,C16782,(-)-Solenopsin A,,,,,,,,Alkaloids and derivatives
12,12,652,15286666,AYPIIWGCGUQVNZ-OYHNWAKOSA-N,96023233,C16709,O-Methylandrocymbine,,map00950,map01063,map01110,,,,Alkaloids and derivatives
13,13,883,10911986,BHBDCRJVCZOPFM-XBFCOCLRSA-N,96023812,C17464,Nupharamine,,,,,,,,Alkaloids and derivatives
14,14,1001,443008,BKWVNPXVPQOROM-UHFFFAOYSA-N,13047,C10864,Physoperuvine,,,,,,,,Alkaloids and derivatives
15,15,1010,8969,BLGXFZZNTVWLAY-SCYLSFHTSA-N,11447,C09256,Yohimbine,,,,,,,,Alkaloids and derivatives
