KEGG_ID,pathway_1,pathway_2,pathway_3,pathway_4,pathway_5,pathway_6,pathway_7,pathway_8,pathway_9,pathway_10
C00001,map00190,map00195,map00710,map01100,map01120,map04918,map04924,map04962,map04964,map04966
C00002,map00190,map00195,map00230,map00231,map00908,map01100,map01110,map01130,map03070,map04020
C00003,map00190,map00730,map00760,map00983,map01100,map04152,map04211,map04212,map04925,map04977
C00004,map00190,map01100,map04020,map04714,map04925,,,,,
C00005,map00195,map00480,map01100,map04918,map04925,,,,,
C00006,map00195,map00480,map00760,map00983,map01100,map04918,map04925,,,
C00007,map00190,map00195,map00630,map01100,map01110,map01130,map02020,map02024,map04066,map04918
C00008,map00190,map00195,map00230,map00908,map01100,map01110,map01130,map04068,map04080,map04142
C00009,map00190,map00195,map01100,map02010,map02020,map02024,map04111,map04928,map04978,map05012
C00010,map00071,map00332,map00770,map01100,map01130,map04216,map04714,map04725,map04975,map04977
C00011,,,,,,,,,,
C00012,map00330,,,,,,,,,
C00013,map00190,map05012,,,,,,,,
C00014,map00220,map00230,map00250,map00260,map00460,map00630,map00910,map01100,map01110,map01120
C00015,map00240,map00908,map01100,map04080,,,,,,
C00016,map00740,map01100,map01110,map04977,,,,,,
C00017,map00450,,,,,,,,,
C00018,map00730,map00750,map01100,map04977,,,,,,
C00019,,,,,,,,,,
C00020,map00230,map00908,map01060,map01065,map01070,map01100,map01110,map01130,map01523,map04022
C00021,map00270,map01100,map01230,,,,,,,
C00022,,,,,,,,,,
C00023,,,,,,,,,,
C00024,,,,,,,,,,
C00025,map00220,map00250,map00330,map00332,map00340,map00430,map00471,map00480,map00524,map00630
C00026,,,,,,,,,,
C00027,map00630,map01110,map01130,map04022,map04210,map04216,map04217,map04218,map04380,map04624
C00028,,,,,,,,,,
C00029,,,,,,,,,,
C00030,,,,,,,,,,
C00031,map00010,map00030,map00052,map00500,map00520,map00521,map00524,map00901,map01100,map01110
C00032,map00860,map01060,map01100,map01110,map02010,map04216,map04978,,,
C00033,,,,,,,,,,
C00034,map00195,map01100,map02010,map02020,,,,,,
C00035,map00230,map01100,map03013,map04014,map04015,map04144,,,,
C00036,,,,,,,,,,
C00037,,,,,,,,,,
C00038,map02010,map02020,map04978,,,,,,,
C00039,map00230,map00240,map01100,map01501,map05200,map05225,map05226,,,
C00040,map00062,map00561,map00564,map04152,map04714,map04920,map04922,map04975,,
C00041,map00250,map00270,map00430,map00450,map00473,map00710,map00970,map01060,map01100,map01120
C00042,map00020,map00190,map00250,map00350,map00360,map00361,map00620,map00630,map00640,map00650
C00043,map00520,map00524,map00540,map00550,map01100,map01130,map01502,map04931,,
C00044,map00230,map00740,map00790,map01100,map01110,map02025,map03013,map04014,map04015,map04122
C00045,map02010,,,,,,,,,
C00046,map00230,map00240,map01100,,,,,,,
C00047,,,,,,,,,,
C00048,,,,,,,,,,
C00049,,,,,,,,,,
C00050,,,,,,,,,,
C00051,map00270,map00480,map01100,map02010,map04216,map04918,map04976,,,
C00052,,,,,,,,,,
C00053,map00230,map00532,map00534,map00920,map01100,map01120,,,,
C00054,map00230,map00532,map00534,map00770,map00920,,,,,
C00055,map00240,map01100,,,,,,,,
C00058,,,,,,,,,,
C00059,map00230,map00261,map00270,map00920,map01100,map01120,map01130,map02010,map02024,
C00060,,,,,,,,,,
C00061,map00190,map00740,map00999,map01057,map01100,map01110,map04977,,,
C00062,,,,,,,,,,
C00063,map00240,map00515,map01100,,,,,,,
C00064,map00220,map00230,map00240,map00250,map00471,map00630,map00910,map00970,map01060,map01100
C00065,,,,,,,,,,
C00066,map00908,,,,,,,,,
C00067,,,,,,,,,,
C00068,map00010,map00020,map00280,map00620,map00640,map00730,map01100,map04977,,
C00069,,,,,,,,,,
C00070,map02010,map02020,map04978,map05010,map05014,,,,,
C00071,map00071,,,,,,,,,
C00072,map00053,map00480,map01100,map01110,map01120,map02060,map04066,map04977,,
C00073,,,,,,,,,,
C00074,,,,,,,,,,
C00075,map00240,map01100,map04080,,,,,,,
C00076,map04010,map04012,map04014,map04015,map04020,map04022,map04024,map04062,map04064,map04066
C00077,map00220,map00330,map00472,map00480,map00999,map01060,map01064,map01100,map01110,map01130
C00078,map00260,map00380,map00400,map00404,map00901,map00966,map00970,map01060,map01061,map01063
C00079,map00360,map00400,map00460,map00940,map00960,map00966,map00970,map01060,map01061,map01063
C00080,map00190,map00195,map01100,map04024,map04260,map04261,map04371,map04714,map04721,map04742
C00081,map00230,,,,,,,,,
C00082,map00130,map00231,map00261,map00350,map00360,map00400,map00401,map00460,map00680,map00730
C00083,map00061,map00062,map00253,map00254,map00332,map00333,map00360,map00410,map00522,map00620
C00084,map00010,map00360,map00362,map00440,map00564,map00620,map00621,map00622,map00625,map00920
C00085,,,,,,,,,,
C00086,map00220,map00230,map00240,map00330,map00780,map00791,map01100,map01120,map02010,map05120
C00087,map00920,map01120,,,,,,,,
C00088,map00910,map01120,map02010,map02020,,,,,,
C00089,map00052,map00500,map01100,map02010,map02060,map04742,map04973,,,
C00090,map00361,map00362,map00364,map00621,map00624,map00626,map00627,map01100,map01120,map01220
C00091,,,,,,,,,,
C00092,map00500,map00521,map00524,map00562,map00999,map01062,map01100,map01130,map02020,map02060
C00093,map00561,map00564,map01100,map01110,map02010,map05231,,,,
C00094,map00270,map00430,map00920,map01100,map01120,,,,,
C00095,map00051,map00052,map00500,map01100,map01120,map02010,map02060,map04742,map04931,map04973
C00096,map00051,map00053,map00510,map00520,map01100,map01110,,,,
C00097,map00260,map00270,map00311,map00332,map00430,map00460,map00480,map00730,map00770,map00920
C00098,map02010,,,,,,,,,
C00099,map00240,map00410,map00640,map00770,map01100,map01110,map04080,map04974,,
C00100,,,,,,,,,,
C00101,,,,,,,,,,
C00102,,,,,,,,,,
C00103,,,,,,,,,,
C00104,map00230,,,,,,,,,
C00105,map00240,map01100,,,,,,,,
C00106,map00240,map00410,map00770,map01100,,,,,,
C00107,map02010,map02030,,,,,,,,
C00108,map00380,map00400,map00405,map00621,map00627,map00999,map01058,map01060,map01061,map01063
C00109,map00260,map00270,map00290,map00640,map00660,map01100,map01110,map01130,map01210,map01230
C00110,map00510,map01100,,,,,,,,
C00111,,,,,,,,,,
C00112,map00240,map01100,,,,,,,,
C00113,,,,,,,,,,
C00114,map00260,map00564,map01100,map02010,map04725,map04976,map05231,,,
C00116,map00040,map00052,map00561,map01100,map02010,map04714,map04723,map04923,,
C00117,,,,,,,,,,
C00118,,,,,,,,,,
C00119,map00030,map00230,map00240,map00340,map00400,map00790,map01060,map01065,map01070,map01100
C00120,,,,,,,,,,
C00121,map00030,map02010,map02030,,,,,,,
C00122,map00020,map00190,map00220,map00250,map00350,map00360,map00620,map00643,map00650,map00720
C00123,map00280,map00290,map00966,map00970,map01060,map01065,map01100,map01110,map01210,map01230
C00124,,,,,,,,,,
C00125,,,,,,,,,,
C00126,,,,,,,,,,
C00127,map00480,map04216,map04918,,,,,,,
C00128,map00520,map01100,,,,,,,,
C00129,,,,,,,,,,
C00130,map00230,map01060,map01065,map01070,map01100,map01110,map01130,map01523,map04742,
C00131,map00230,map01100,,,,,,,,
C00132,map00640,map00680,map00901,map01100,map01120,map01200,map01220,,,
C00133,map00473,map00550,map01100,map01502,map01503,map04742,,,,
C00134,map00330,map00480,map00960,map01060,map01064,map01100,map01110,map01130,map02010,map04974
C00135,map00340,map00410,map00970,map01060,map01065,map01100,map01110,map01230,map02010,map04974
C00136,map00062,map00071,map00310,map00630,map00650,map01056,map01100,map01120,map01130,map01200
C00137,map00052,map00053,map00521,map00562,map01100,map01120,map01130,map02010,map04070,
C00138,,,,,,,,,,
C00139,,,,,,,,,,
